Index	Tanggal	Kategori	Tema	Pertanyaan	Jawaban	Dasar Hukum	Editor
181600	27 April 2022	Tanya-SC	PPh	.terkait pemotongan pph, maka menggunakan uu pph dan turunannya. jadi jika lawan transaksi adalah wpln, tidak memiliki but dan form dgt, maka dipotong tarif pph pasal 26 sebesar 20%?	Betul fin . PMSE hanya terkait PPNnya saja . PPhnya tetap mengikuti ketentuan umum PPh . Dikarenakan Irlandia tidak memiliki P3B dgn Indonesia maka dipotong PPh 26 sebesar 20% . Yg baru ada P3B dengan indonesia hanya irlandia utara yg menggunakan P3B Indonesia-UK . Tapi , Irlandia utara dan Irlandia itu negara yg berbeda. Irlandia utara itu ikut wilayah britania raya ( united kingdom) , kalau irlandia negara berdaulat tersendiri yg belum ada p3B dengan indonesia	Betul fin . PMSE hanya terkait PPNnya saja . PPhnya tetap mengikuti ketentuan umum PPh . Dikarenakan Irlandia tidak memiliki P3B dgn Indonesia maka dipotong PPh 26 sebesar 20% . Yg baru ada P3B dengan indonesia hanya irlandia utara yg menggunakan P3B Indonesia-UK . Tapi , Irlandia utara dan Irlandia itu negara yg berbeda. Irlandia utara itu ikut wilayah britania raya ( united kingdom) , kalau irlandia negara berdaulat tersendiri yg belum ada p3B dengan indonesia	FATHDITYA FALAQI
181601	27 April 2022	Tanya-SC	E-Faktur	"Sdh saya sinkron kode cap di e-faktur, min. Saya ada transaksi dgn kawasan berikat (07), namun isi cap yg ada bunyi ""PPN atau PPnBM tidak dipungut, dibebaskan atau DTP"" yg mengacu ke Pasal 20 PER-03/PJ/2022, tdk di temukan. Berikut di lampirkan cap yg sdh sinkron"	Arahkan dulu WP melakukan sinkronisasi kode cap di efaktur dekstopnya . Apabila sudah sinkronisasi kode cap dan di aplikasinya memang masih muncul keterangan tanpa mencantumkan peraturan perundang-undangan di bidang perpajakan yang mendasarinya. Kita tetap gunakan kode cap yang tersedia di aplikasi e-faktur saat ini karena itu memang menarik dari sistem, dan Wajib Pajak dapat menambahkan keterangan secara lengkap sesuai ketentuan Pasal 20 PER-03/2022 di bagian referensi pada saat membuat faktur pajak , mba .	Arahkan dulu WP melakukan sinkronisasi kode cap di efaktur dekstopnya . Apabila sudah sinkronisasi kode cap dan di aplikasinya memang masih muncul keterangan tanpa mencantumkan peraturan perundang-undangan di bidang perpajakan yang mendasarinya. Kita tetap gunakan kode cap yang tersedia di aplikasi e-faktur saat ini karena itu memang menarik dari sistem, dan Wajib Pajak dapat menambahkan keterangan secara lengkap sesuai ketentuan Pasal 20 PER-03/2022 di bagian referensi pada saat membuat faktur pajak , mba .	FATHDITYA FALAQI
181602	27 April 2022	Tanya-SC	E-Faktur	https://twitter.com/thehelenas/status/1518902270829920256 Selain itu apabila ad dokumen lain yg dipersamakan dgn FP yg di dpt setelah tgl 1 April 2022. Untuk dokumen lain tsb sdh ditujukan kpd alamat cabang dmn penyerahan barang/jasa terjadi namun identitas pelanggannyanya msh menggunakan alamat pusat. Apakah identitas tsb perlu diubah? Mas/Mba ini perlu digali dulu atau dijawab normatif sesuai Pasal 6 PER-03/2022?	Digali dulu sambil dijawab ya , Nafis . Dokumen lain yg dipersamakan dgn FP yg dimaksud berupa apa ? Ketentuan di Pasal 5 dan 6 PER 03/2022 hanya mengatur mengenai cara pengisian keterangan di Faktur Pajak saja, tidak mengatur mengenai pengisian di dokumen lain yg dipersamakan dgn FP. Jadi, Ketentuan Pasal 6 ayat (6) dan ayat (7) PER-03/PJ/2022 hanya berlaku untuk Faktur Pajak Biasa saja dan tidak berlaku untuk dokumen lain yg dipersamakan dengan FP	Digali dulu sambil dijawab ya , Nafis . Dokumen lain yg dipersamakan dgn FP yg dimaksud berupa apa ? Ketentuan di Pasal 5 dan 6 PER 03/2022 hanya mengatur mengenai cara pengisian keterangan di Faktur Pajak saja, tidak mengatur mengenai pengisian di dokumen lain yg dipersamakan dgn FP. Jadi, Ketentuan Pasal 6 ayat (6) dan ayat (7) PER-03/PJ/2022 hanya berlaku untuk Faktur Pajak Biasa saja dan tidak berlaku untuk dokumen lain yg dipersamakan dengan FP	FATHDITYA FALAQI
181603	27 April 2022	Tanya-SC	PPN	mau tanya, jika kami perusahaan manufaktur menerima FP dengan kode 05 dari PKP freight forwarding. Apakah kami masih bisa mengkreditkan FP tersebut atau memang sudah tidak bisa dikreditkan lagi? Trims.	Kalau yg diatur di pasal 5 PMK 71/PMK.03/2022 , ini untuk Pemberi Jasanya , Mas . Ini kan WP sbg pengguna jasa , jadi ikut ketentuan umum pengkreditan PPN . Sepanjang PM tsb tidak memenuhi kriteria pasal 9 ayat 8 UU PPN sttd UU HPP , maka PM tsb dapat dikreditkan .	Kalau yg diatur di pasal 5 PMK 71/PMK.03/2022 , ini untuk Pemberi Jasanya , Mas . Ini kan WP sbg pengguna jasa , jadi ikut ketentuan umum pengkreditan PPN . Sepanjang PM tsb tidak memenuhi kriteria pasal 9 ayat 8 UU PPN sttd UU HPP , maka PM tsb dapat dikreditkan .	FATHDITYA FALAQI
181604	27 April 2022	Tanya-SC	E-Faktur	saya mau lapor pajak di web efaktur yang bulan 3 , pas di gunggungan ppn nya11%. In knp ya mas/mbak? Hrsny kalo maret udh diinput ttp 10 kan y?	Penyerahan dengan FP digunggung memang nilai PPN-nya akan muncul otomatis akan tetapi nilai PPN tsb bisa diubah secara manual. Jadi, jika nilai PPN-nya tidak sesuai ,silakan bisa diubah secara manual kemudian baru disubmit , Mba.	Penyerahan dengan FP digunggung memang nilai PPN-nya akan muncul otomatis akan tetapi nilai PPN tsb bisa diubah secara manual. Jadi, jika nilai PPN-nya tidak sesuai ,silakan bisa diubah secara manual kemudian baru disubmit , Mba.	FATHDITYA FALAQI
181605	22 April 2022	Tanya-SC	E-Faktur	wp ada kendala etax 40001 sudah diberikan petunjuk tp ktnya sudah dilakukan semua, proxy, tgl jam, sertel, koneksi lain, dsb tp tdk bs jg, hrs diapakan lg ya kak?	Wp diarahkan untuk mencoba mematikan sementara firewall dan antivirus .	Wp diarahkan untuk mencoba mematikan sementara firewall dan antivirus .	FATHDITYA FALAQI
181606	22 April 2022	Tanya-SC	E-Faktur	mas mbak saya ingin bertanya apabila ada transaksi di bulan Januari 2022 tapi kami lupa menerbitkan faktur pajaknya dan akan diterbitkan di bulan ini tapi dengan tanggal faktur sesuai diterbitkannya invoice (bulan Januari 2022) apakah bisa ya?	Tidak bisa , Mas Sesuai Lampiran PER 03/PJ/2022 , Tgl FP diisi Tgl FP dibuat . Jadi, Jika FP baru dibuat sekarang : Tgl FP dan Masa Pajak tetap masuk april . Digali juga ya . Apakah sudah melewati dari 3 bulan dari seharusnya FP dibuat / belum ? jika sudah , maka FP dianggap tidak dibuat dan PKP dpt dikenai pasal 14 ayat 4 UU KUP ( Pasal 33 PER 03/2022).	Tidak bisa , Mas Sesuai Lampiran PER 03/PJ/2022 , Tgl FP diisi Tgl FP dibuat . Jadi, Jika FP baru dibuat sekarang : Tgl FP dan Masa Pajak tetap masuk april . Digali juga ya . Apakah sudah melewati dari 3 bulan dari seharusnya FP dibuat / belum ? jika sudah , maka FP dianggap tidak dibuat dan PKP dpt dikenai pasal 14 ayat 4 UU KUP ( Pasal 33 PER 03/2022).	FATHDITYA FALAQI
181607	22 April 2022	Tanya-SC	DJP Online	kami ada kredit pph 22 atas penjualan batu bara. mau tnya pas pengisian di Form III pada EForm itu pilihan jenis penghasilannya apa ya pak ?	"Silakan dipilih "" Pembelian minerba dan mineral bukan logam dari pemegang IUP """	"Silakan dipilih "" Pembelian minerba dan mineral bukan logam dari pemegang IUP """	FATHDITYA FALAQI
181608	22 April 2022	Tanya-SC	PPh	mas/mbak wp tanya > saya ingin bertanya berkaitan tentang validasi pengalihan hak atas tanah itu apabila sudah terrbit sket validasi dan adanya pembatalan secara sepihak dari konsumen bisakah sket validasi tersebut dibatalkan ya ?	Di Per-18/2017 dan perubahannya Per-21/2019, tdk mengatur khusus terkait pembetulan/pembatalan sket e-phtb. Di menu e-phtbnya juga tidak ada menu untuk pembatalannya . Terkait pembatalan tsb , arahkan konfirmasi ke KPP terdaftar ya, bil .	Di Per-18/2017 dan perubahannya Per-21/2019, tdk mengatur khusus terkait pembetulan/pembatalan sket e-phtb. Di menu e-phtbnya juga tidak ada menu untuk pembatalannya . Terkait pembatalan tsb , arahkan konfirmasi ke KPP terdaftar ya, bil .	FATHDITYA FALAQI
181609	22 April 2022	Tanya-SC	KUP	untuk form form 1771Y untuk pelaporan spt badan tahunan dpt dr mana ya, apa bisa pakai e-form?	Belum ada eformnya , masih manual , mba Formnya ada di lampiran PER 21/PJ/2009 . - Dasar Hukum cara pengirimannya disini ya Pasal 15 PMK-243/PMK.03/2014 - Ada 4 cara , salah satunya ini : saluran tertentu yang ditetapkan oleh Direktur Jenderal Pajak sesuai dengan perkembangan teknologi informasi.Tapi yg ini belum ada , mba Jadi yg bisa 3 aja : langsung , pos atau jasa ekspedisi/kurir .	Belum ada eformnya , masih manual , mba Formnya ada di lampiran PER 21/PJ/2009 . - Dasar Hukum cara pengirimannya disini ya Pasal 15 PMK-243/PMK.03/2014 - Ada 4 cara , salah satunya ini : saluran tertentu yang ditetapkan oleh Direktur Jenderal Pajak sesuai dengan perkembangan teknologi informasi.Tapi yg ini belum ada , mba Jadi yg bisa 3 aja : langsung , pos atau jasa ekspedisi/kurir .	FATHDITYA FALAQI
181610	22 April 2021	Tanya-SC	PPh	PPS . zin mas/mbak di PMK 196/2021 disebutkan: Dasar pengenaan pajak untuk Harta yang belum dilaporkan dalam SPT Tahunan Pajak Penghasilan orang pribadi Tahun Pajak 2020 sebagaimana dimaksud pada ayat (2) dihitung sebesar: a. nilai nominal, untuk Harta berupa kas atau setara kas; atau b. harga perolehan, untuk Harta selain kas atau setara kas. dan tidak disebutkan pada saat kondisi kapan berbeda dengan dasar pedoman harta pada kebijakan I. yg disebutkan pada kebijakan II adalah pada tanggal 31 Desember 2020 adalah untuk kondisi harta selan kas dan setara kas. sebaiknya dijawab seperti apa ? terimaksih Twitter	Betul , Tabungan termasuk kas atau setara kas . Sesuai pasal 6 , Untuk nilainya menggunakan nilai nominal . Nilai Nominalnya per kapan ? Kembali ke pasal 5 ayat 1 PMK 196/2021 , Yg menjadi objek PPS kebijakan II yakni harta bersih yg masih dimiliki pd tgl 31 des 2020 , diperoleh 2016 s.d 2020 dan belum dilaporkan di SPT Tahunan 2020 . Atau dengan kata lain , untuk tabungan mengikuti nilai nominal pd tgl 31 Desember 2020 ( sesuai yg masih dimiliki per 31 des 2020 ) .	Betul , Tabungan termasuk kas atau setara kas . Sesuai pasal 6 , Untuk nilainya menggunakan nilai nominal . Nilai Nominalnya per kapan ? Kembali ke pasal 5 ayat 1 PMK 196/2021 , Yg menjadi objek PPS kebijakan II yakni harta bersih yg masih dimiliki pd tgl 31 des 2020 , diperoleh 2016 s.d 2020 dan belum dilaporkan di SPT Tahunan 2020 . Atau dengan kata lain , untuk tabungan mengikuti nilai nominal pd tgl 31 Desember 2020 ( sesuai yg masih dimiliki per 31 des 2020 ) .	FATHDITYA FALAQI
181611	22 April 2022	Tanya-SC	E-Faktur	mas/mba kalau seperti ini apakah ada kemungkinan databasenya corrupt ya?	Kemungkinan bisa karena db yg corrupt ini , yol . Coba arahin WPnya extract db dari back up , copas db back up tsb ke folder db , kemudian coba buka db tsb di efakturnya .	Kemungkinan bisa karena db yg corrupt ini , yol . Coba arahin WPnya extract db dari back up , copas db back up tsb ke folder db , kemudian coba buka db tsb di efakturnya .	FATHDITYA FALAQI
181612	22 April 2022	Tanya-SC	PPh	Min apakah pembetulan Realisasi Insentif Pph final umkm masa Okt 2021 masi bisa kah ? Karena PT masi UMKM peredaran bruto PPh final di tahun ke 2...	Pembetulan laporan realisasi pph final DTP untuk tahun 2021 sudah tidak bisa dilakukan sekarang . Sesuai Pasal 13 ayat 3 PMK 03/2022 bahwa WP dapat menyampaikan pembetulan lap.realisasi pph final DTP untuk masa pajak jan-des 2021 paling lambat tgl 31 Maret 2022.	Pembetulan laporan realisasi pph final DTP untuk tahun 2021 sudah tidak bisa dilakukan sekarang . Sesuai Pasal 13 ayat 3 PMK 03/2022 bahwa WP dapat menyampaikan pembetulan lap.realisasi pph final DTP untuk masa pajak jan-des 2021 paling lambat tgl 31 Maret 2022.	FATHDITYA FALAQI
181613	21 April 2022	Tanya-SC	KUP	saya Riadi dari PT Flowric Bintang Adi Sentosa...mau menanyakan terkait pelaporan SPT Badan, tapi utk form 1771 Y atau penundaan pelaporan..... terkalit pelaporan tersebut apakah bisa dilakukan secara online ?	Belum bisa secara online , Mas .Aturan cara penyampaianne ada di pasal 15 ayat 1 dan 2 PMK 243/PMK.03/2014 . Yg ayat 2b ini belum tersedia , mas 2.b.saluran tertentu yang ditetapkan oleh Direktur Jenderal Pajak sesuai dengan perkembangan teknologi informasi. Jadi baru bisa langsung , pos dgn BPS, jasa ekspedisi/kurir dgn BPS	Belum bisa secara online , Mas .Aturan cara penyampaianne ada di pasal 15 ayat 1 dan 2 PMK 243/PMK.03/2014 . Yg ayat 2b ini belum tersedia , mas 2.b.saluran tertentu yang ditetapkan oleh Direktur Jenderal Pajak sesuai dengan perkembangan teknologi informasi. Jadi baru bisa langsung , pos dgn BPS, jasa ekspedisi/kurir dgn BPS	FATHDITYA FALAQI
181614	21 April 2022	Tanya-SC	PPh	penghasilan dividen Orang Pribadi, secara statement perusahaan dibagikan pada bulan maret namun baru diterima pada bulan april. apabila dividen tidak diinvestasikan untuk setor PPH masuk masa maret atau april?	Saat diterima deviden masih mengacu ke saat diterima deviden sesuai pasal 15 PP 94/2010 ya , Dang .	Saat diterima deviden masih mengacu ke saat diterima deviden sesuai pasal 15 PP 94/2010 ya , Dang .	FATHDITYA FALAQI
181615	21 April 2022	Tanya-SC	E-Faktur	maaf pak/bu saya mau tanya. kan saya mau log in web based untuk lapor PPN tapi saya lupa passwordnya. untuk masuk ke enofa juga saya lupa password.. tadi udah minta kode aktivasi untuk melakukan resend password, tapi tetap aja tidak bisa. gimana ya pak/bu? WP sudah sangat yakin yang di inbputkan benar.saat lupa password muncul notif NPWP/Kode Aktivasi/Email yang Anda masukkan Salah .apakah saya bisa mengetahui email yg terdaftar di e nofa bu? barangkali ada email alternatifnya.. saya lupa	Emailnya sesuai yg digunakan ketika pengajuan kode aktivasi/password , mba Jika kemungkinan email salah , WP bisa update email , tapi bentar ya apakah prosedurnya diubah di per 03/2022 atau gak , kucek bentar ya mba	Emailnya sesuai yg digunakan ketika pengajuan kode aktivasi/password , mba Jika kemungkinan email salah , WP bisa update email , tapi bentar ya apakah prosedurnya diubah di per 03/2022 atau gak , kucek bentar ya mba	FATHDITYA FALAQI
181616	21 April 2022	Tanya-SC	PPh	Case nya adalah 1. CV Kami menjual mobil yang merupakan kendaraan operasional pada bulan desember 2021. 2. Harga jual mobil tersebut lebih besar dari pada nilai buku. 3. CV Kami belum PKP 4. CV Kami berdiri pada tahun 2017 5. Sebelumnya Omzet kami di bawah 4.8m sehingga kami menggunakan PPh final 0.5% 6. Secara laporan keuangan komersil kami mengalami kerugian 7. Tahun 2021 saya mendapatkan insentif PPh Final DTP. Dengan adanya case tersebut yang mana laba dari penjualan mobil bukan merupakan laba dari Usaha maka saya ingin menanyakan sbb : 1. Bagaimana cara menghitung Pajak atas laba penjualan mobil tersebut?	Kalau badan langsung masuk di penghasilan dari luar usaha sebesar keuntungan ya , mba . Pakai tarif umum , mba Kalau omzet semua masih dibawah 50 M , PKP dari peredaran bruto 4,8 M bisa pakai 31 e .	Kalau badan langsung masuk di penghasilan dari luar usaha sebesar keuntungan ya , mba . Pakai tarif umum , mba Kalau omzet semua masih dibawah 50 M , PKP dari peredaran bruto 4,8 M bisa pakai 31 e .	FATHDITYA FALAQI
181617	21 April 2022	Tanya-SC	E-Faktur	https://twitter.com/Diniilmiana/status/1516978093394591745 @kring_pajak dari kemarin saya coba upload, namun muncul keterangan sertel tidak ditemukan. Sertel jg blm kadaluarsa. Mohon bantuannya min solusinya	Untuk error tsb , arahkan WP untuk c3l dll . Jika WP sbg PKP arahkan untuk WP download ulang sertelnya dari enofa dan gunakan file sertel yg baru tsb . Jika tetap tidak bisa , arahkan WP mencoba menggunakan browser atau device lain dan coba berkala dulu ya , Mas .	Untuk error tsb , arahkan WP untuk c3l dll . Jika WP sbg PKP arahkan untuk WP download ulang sertelnya dari enofa dan gunakan file sertel yg baru tsb . Jika tetap tidak bisa , arahkan WP mencoba menggunakan browser atau device lain dan coba berkala dulu ya , Mas .	FATHDITYA FALAQI
181618	21 April 2022	Tanya-SC	DJP Online	mas/mba : mau tanya saya sdh berhasil lapor spt 1771 menggunakan eform. Kl saya mau print pdf SPT nya apakah bisa seperti yg di e-spt? Untuk filing saya dari eform ini bagaimana ya? Misal saya mau print lampiran III, tetap saja yg muncul ya halaman terakhir lampiran III yg di eform nya, padahal lampiran III ada 5 halaman. Bagaimana ini? Tolong dibantu saya butuh scan spt tahunan untuk ikut tender2.	Menu cetak di eform PDF dan espt memang berbeda . Untuk menu cetak di eform PDF hanya bisa mencetak mengikuti halaman yg sedang ditampilkan di tabel eform PDFnya . Jika lampiran III berisi lebih dari 1 halaman , Untuk menu cetak di eform PDF tidak bisa mencetak sekaligus tapi hanya dapat mencetak per halaman sesuai halaman yg sedang ditampilkan . Jadi , klik next terlebih dahulu pd tabel yg ada di lampiran III agar eform PDF menampilkan halaman selanjutnya kemudian cetak kembali . Silakan ulangi langkah2 tsb untuk setiap halamannya .	Menu cetak di eform PDF dan espt memang berbeda . Untuk menu cetak di eform PDF hanya bisa mencetak mengikuti halaman yg sedang ditampilkan di tabel eform PDFnya . Jika lampiran III berisi lebih dari 1 halaman , Untuk menu cetak di eform PDF tidak bisa mencetak sekaligus tapi hanya dapat mencetak per halaman sesuai halaman yg sedang ditampilkan . Jadi , klik next terlebih dahulu pd tabel yg ada di lampiran III agar eform PDF menampilkan halaman selanjutnya kemudian cetak kembali . Silakan ulangi langkah2 tsb untuk setiap halamannya .	FATHDITYA FALAQI
181619	21 April 2022	Tanya-SC	PPN	Saya Nila dari PT Aroma Dinamis Sejahtera, ingin menanyakan perihal PPN rokok elektrik berdasarkan PMK No.63 Tahun 2022 tarifnya 9,9%. Untuk applynya bagaimana ya Bpk/Ibu supaya kami bisa 9.9%? dikarenakan kami perusahaan rokok elektrik.	- Untuk tarif terbaru di PMK 63/2022 berlaku mulai 1 april 2022 . - Pasal 5 PMK 63/2022 1.Atas penyerahan Hasil Tembakau sebagaimana dimaksud dalam Pasal 2 ayat (1) mulai dari tingkat Produsen dan/ atau Importir, Pengusaha Penyalur hingga ke konsumen akhir dilakukan pemungutan Pajak Pertambahan Nilai satu kali pada tingkat Produsen dan/ atau Importir. 2. Pajak Pertambahan Nilai atas penyerahan Hasil Tembakau sebagaimana dimaksud pada ayat (1) terutang pada saat Produsen dan/atau Importir melakukan pemesanan pita cukai Hasil Tembakau. -Pasal 9 PMK 63/2022 Pelaksanaan administrasi pemungutan dan pelaporan Pajak Pertambahan Nilai atas penyerahan Hasil Tembakau ditetapkan oleh Direktur Jenderal Pajak. Yang bisa diinfoin sebatas itu dulu mas . Untuk teknis lebih lanjutnya arahkan tunggu aturan turunannya dulu , Mas . Dulu teknis rincinya diatur di PER-49/PJ/2015, aturan turunan dari PMK 174/PMK.03/2015 . Tapi PMK 174/PMK.03/2015 skrg udah dicabut sm PMK 63/2022 .	- Untuk tarif terbaru di PMK 63/2022 berlaku mulai 1 april 2022 . - Pasal 5 PMK 63/2022 1.Atas penyerahan Hasil Tembakau sebagaimana dimaksud dalam Pasal 2 ayat (1) mulai dari tingkat Produsen dan/ atau Importir, Pengusaha Penyalur hingga ke konsumen akhir dilakukan pemungutan Pajak Pertambahan Nilai satu kali pada tingkat Produsen dan/ atau Importir. 2. Pajak Pertambahan Nilai atas penyerahan Hasil Tembakau sebagaimana dimaksud pada ayat (1) terutang pada saat Produsen dan/atau Importir melakukan pemesanan pita cukai Hasil Tembakau. -Pasal 9 PMK 63/2022 Pelaksanaan administrasi pemungutan dan pelaporan Pajak Pertambahan Nilai atas penyerahan Hasil Tembakau ditetapkan oleh Direktur Jenderal Pajak. Yang bisa diinfoin sebatas itu dulu mas . Untuk teknis lebih lanjutnya arahkan tunggu aturan turunannya dulu , Mas . Dulu teknis rincinya diatur di PER-49/PJ/2015, aturan turunan dari PMK 174/PMK.03/2015 . Tapi PMK 174/PMK.03/2015 skrg udah dicabut sm PMK 63/2022 .	FATHDITYA FALAQI
181620	12 April 2022	Tanya-SC	E-Faktur	Mohon dibantu, kami mengalami kendala dalam hal upload faktur pajak, dimana no sppb yang kami input direject 'sppb tidak ditemukan' sementara sppb tsb sudah terdaftar. Kendala ETAX-API-10025, sudah dipastikan pengisian sudah sesuai, dan sudah cek ke BC sesuai, namun msh tdk bisa. Mohon bantuannya. terimakasih	WP baru coba input secara key in . Diarahkan untuk impor dan ambil data dari prepop BC 4.0 di efaktur webbased .	WP baru coba input secara key in . Diarahkan untuk impor dan ambil data dari prepop BC 4.0 di efaktur webbased .	FATHDITYA FALAQI
